symbol,action,entry_price,alloc_usd,confidence,ts,datetime_utc,exit_price,pct_move,correct,pnl
BTC/USDT,SELL,66638.33,2.8705358505249023,0.6148214340209961,1774904521.281843,2026-03-30 21:02,67835.57,0.0179662365488451,LOSS,-0.0515727261124708
BTC/USDT,SELL,66813.1,3.011722862720489,0.6204689145088196,1774907800.039137,2026-03-30 21:56,67835.57,0.0153034360028198,LOSS,-0.0460897080878723
BTC/USDT,BUY,67835.57,2.5418654084205627,0.6016746163368225,1774927749.83697,2026-03-31 03:29,67336.29,-0.0073601504343519,LOSS,-0.0187085117898508
BTC/USDT,BUY,67726.25,2.7204960584640503,0.608819842338562,1774936376.309363,2026-03-31 05:52,66684.55,-0.0153810376331185,LOSS,-0.0418440522559863
BTC/USDT,BUY,66247.3,3.1707018613815308,0.6268280744552612,1774955427.197252,2026-03-31 11:10,67141.41,0.0134965500480774,WIN,0.0427935363596681
BTC/USDT,BUY,66753.34,3.304111957550049,0.632164478302002,1774958506.877545,2026-03-31 12:01,67141.41,0.0058134918792079,WIN,0.019208428033211
BTC/USDT,BUY,67441.82,3.600636124610901,0.644025444984436,1774965706.857531,2026-03-31 14:01,68074.16,0.0093760814877178,WIN,0.0337598577119722
BTC/USDT,BUY,67141.41,3.669336438179016,0.6467734575271606,1774970530.906215,2026-03-31 15:22,67940.38,0.0118998096703658,WIN,0.0436644052308685
BTC/USDT,BUY,68074.16,2.819754183292389,0.6127901673316956,1774977205.422042,2026-03-31 17:13,68210.94,0.0020092792918781,WIN,0.0056656736886761
BTC/USDT,BUY,67940.38,3.359909355640412,0.6343963742256165,1774984748.310176,2026-03-31 19:19,68191.24,0.0036923549735812,WIN,0.012405978020081
BTC/USDT,BUY,68210.94,3.3331170678138733,0.6333246827125549,1774990636.448338,2026-03-31 20:57,68064.24,-0.0021506814009599,LOSS,-0.0071684728849695
BTC/USDT,SELL,68719.88,2.59266048669815,0.603706419467926,1775030007.888256,2026-04-01 07:53,68580.62,-0.0020264878227378,WIN,0.0052539949047875
SOL/USDT,SELL,83.92,2.833797037601471,0.6133518815040588,1775030007.888256,2026-04-01 07:53,82.72,-0.0142993326978074,WIN,0.0405214066387246
SOL/USDT,SELL,83.43,2.7434810996055603,0.6097392439842224,1775035296.724367,2026-04-01 09:21,82.72,-0.0085101282512286,WIN,0.0233473760124651
SOL/USDT,SELL,78.89,2.741493284702301,0.609659731388092,1775166767.569406,2026-04-02 21:52,79.31,0.0053238686779059,LOSS,-0.0145953502291161
SOL/USDT,SELL,79.04,2.514217793941498,0.6005687117576599,1775170271.220853,2026-04-02 22:51,79.31,0.0034159919028339,LOSS,-0.0085885476260652
ETH/USDT,SELL,2056.16,2.5044649839401245,0.600178599357605,1775173819.264408,2026-04-02 23:50,2054.22,-0.0009435063419189,WIN,0.0023629785954614
SOL/USDT,SELL,78.94,2.617721259593964,0.6047088503837585,1775173819.264408,2026-04-02 23:50,79.31,0.0046871041297188,LOSS,-0.0122695321262956
BTC/USDT,SELL,66654.85,2.810095250606537,0.6124038100242615,1775186845.549255,2026-04-03 03:27,67096.31,0.0066230739398557,LOSS,-0.0186114686228044
ETH/USDT,SELL,2054.22,2.80710905790329,0.6122843623161316,1775186845.549255,2026-04-03 03:27,2069.83,0.0075989913446466,LOSS,-0.0213311974344864
BTC/USDT,SELL,67096.31,2.598300576210022,0.6039320230484009,1775201807.541708,2026-04-03 07:36,66618.26,-0.0071248329453587,WIN,0.0185124575473257
ADA/USDT,SELL,0.2438,2.850033342838288,0.6140013337135315,1775207359.702142,2026-04-03 09:09,0.2454,0.0065627563576702,LOSS,-0.0187040744402842
BTC/USDT,SELL,66788.24,2.5529712438583374,0.6021188497543335,1775210671.575406,2026-04-03 10:04,66618.26,-0.0025450588307164,WIN,0.0064974620087468
ADA/USDT,SELL,0.2458,3.0667781829833984,0.6226711273193359,1775210671.575406,2026-04-03 10:04,0.2454,-0.001627339300244,WIN,0.0049906886622998
XRP/USDT,SELL,1.32,3.352060914039612,0.6340824365615845,1775201807.541708,2026-04-03 07:36,1.319,-0.0007575757575758,WIN,0.0025394400863939
